Municipio_residencia,Estado_residencia,Municipio_ocorrencia,Estado_ocorrencia,ano,faixa_etaria,sexo,Cod_CID_10,dcid_capitulo,total_obitos,DESCRICAO
Inhumas,GO,AnÃ¡polis,GO,1996.0,70 A 79 ANOS,FEMININO,I219,IX,1,Infarto agudo do miocárdio
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,MASCULINO,G932,VI,1,Outros transtornos do encéfalo
Inhumas,GO,Aparecida de GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,B572,I,1,Doença de Chagas
Inhumas,GO,BrasÃ­lia,DF,1996.0,40 A 49 ANOS,MASCULINO,X959,XX,1,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Inhumas,GO,BritÃ¢nia,GO,1996.0,30 A 39 ANOS,FEMININO,G419,VI,1,Estado de mal epiléptico
Inhumas,GO,DamolÃ¢ndia,GO,1996.0,70 A 79 ANOS,FEMININO,B572,I,1,Doença de Chagas
Inhumas,GO,DamolÃ¢ndia,GO,1996.0,80 ANOS E MAIS,MASCULINO,R98,XVIII,1,Morte sem assistência
Inhumas,GO,GoiÃ¢nia,GO,1996.0,01 A 04 ANOS,MASCULINO,J159,X,1,Pneumonia bacteriana não classificada em outra parte
Inhumas,GO,GoiÃ¢nia,GO,1996.0,05 A 09 ANOS,MASCULINO,C753,II,1,Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,20 A 29 ANOS,FEMININO,B169,I,1,Hepatite aguda B
Inhumas,GO,GoiÃ¢nia,GO,1996.0,20 A 29 ANOS,FEMININO,R58,XVIII,1,Hemorragia não classificada em outra parte
Inhumas,GO,GoiÃ¢nia,GO,1996.0,20 A 29 ANOS,MASCULINO,B238,I,1,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,FEMININO,G459,VI,1,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,FEMININO,N179,XIV,1,Insuficiência renal aguda
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,MASCULINO,B24,I,1,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,MASCULINO,E86,IV,1,Depleção de volume
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,MASCULINO,I64,IX,2,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
Inhumas,GO,GoiÃ¢nia,GO,1996.0,30 A 39 ANOS,MASCULINO,J189,X,1,Pneumonia por microorganismo não especificada
Inhumas,GO,GoiÃ¢nia,GO,1996.0,40 A 49 ANOS,FEMININO,B572,I,1,Doença de Chagas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,40 A 49 ANOS,FEMININO,I500,IX,1,Insuficiência cardíaca
Inhumas,GO,GoiÃ¢nia,GO,1996.0,40 A 49 ANOS,MASCULINO,B572,I,1,Doença de Chagas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,40 A 49 ANOS,MASCULINO,C73,II,1,Neoplasia maligna da glândula tireóide
Inhumas,GO,GoiÃ¢nia,GO,1996.0,40 A 49 ANOS,MASCULINO,G459,VI,1,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,FEMININO,C719,II,2,Neoplasia maligna do encéfalo
Inhumas,GO,GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,FEMININO,I710,IX,1,Aneurisma e dissecção da aorta
Inhumas,GO,GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,FEMININO,G610,VI,1,Polineuropatia inflamatória
Inhumas,GO,GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,MASCULINO,C349,II,1,Neoplasia maligna dos brônquios e dos pulmões
Inhumas,GO,GoiÃ¢nia,GO,1996.0,50 A 59 ANOS,MASCULINO,R98,XVIII,1,Morte sem assistência
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,FEMININO,I429,IX,1,Cardiomiopatias
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,FEMININO,I443,IX,1,Bloqueio atrioventricular e do ramo esquerdo
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,FEMININO,J180,X,1,Pneumonia por microorganismo não especificada
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,I519,IX,1,Complicações de cardiopatias e doenças cardíacas mal definidas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,J960,X,1,Insuficiência respiratória não classificada de outra parte
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,K559,XI,1,Transtornos vasculares do intestino
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,R98,XVIII,1,Morte sem assistência
Inhumas,GO,GoiÃ¢nia,GO,1996.0,60 A 69 ANOS,MASCULINO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,FEMININO,A419,I,1,Outras septicemias
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,FEMININO,I420,IX,1,Cardiomiopatias
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,FEMININO,I429,IX,1,Cardiomiopatias
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,FEMININO,I64,IX,2,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,MASCULINO,B572,I,1,Doença de Chagas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,MASCULINO,I519,IX,1,Complicações de cardiopatias e doenças cardíacas mal definidas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,MASCULINO,I619,IX,1,Hemorragia intracerebral
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,MASCULINO,G459,VI,1,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,70 A 79 ANOS,MASCULINO,J46,X,1,Estado de mal asmático
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,C189,II,1,Neoplasia maligna do cólon
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,E141,IV,1,Diabetes mellitus não especificado
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,I10,IX,1,Hipertensão essencial (primária)
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,I500,IX,1,Insuficiência cardíaca
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,FEMININO,G459,VI,1,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,I429,IX,1,Cardiomiopatias
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,J449,X,1,Outras doenças pulmonares obstrutivas crônicas
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,K829,XI,1,Outras doenças da vesícula biliar
Inhumas,GO,GoiÃ¢nia,GO,1996.0,80 ANOS E MAIS,MASCULINO,K85,XI,1,Pancreatite aguda
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,A09,I,1,Diarréia e gastroenterite de origem infecciosa presumível
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,J189,X,1,Pneumonia por microorganismo não especificada
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,P240,XVI,1,Síndrome de aspiração neonatal
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,FEMININO,P285,XVI,1,Outras afecções respiratórias originadas no período perinatal
Inhumas,GO,GoiÃ¢nia,GO,1996.0,NÃƒO INFORMADO,MASCULINO,P968,XVI,1,Outras afecções originadas no período perinatal
Inhumas,GO,Goianira,GO,1996.0,70 A 79 ANOS,MASCULINO,J449,X,1,Outras doenças pulmonares obstrutivas crônicas
Inhumas,GO,GuaraÃ­,TO,1996.0,50 A 59 ANOS,MASCULINO,B199,I,1,Hepatite viral não especificada
Inhumas,GO,Inhumas,GO,1996.0,01 A 04 ANOS,MASCULINO,Y349,XX,1,Fatos ou eventos não especificados e intenção não determinada
Inhumas,GO,Inhumas,GO,1996.0,10 A 14 ANOS,MASCULINO,Y299,XX,1,"Contato com objeto contundente, intenção não determinada"
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,FEMININO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,FEMININO,X999,XX,1,Agressão por meio de objeto cortante ou penetrante
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,,,1,
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,R98,XVIII,1,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,V093,XX,1,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,X749,XX,1,Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,X959,XX,1,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,Y299,XX,1,"Contato com objeto contundente, intenção não determinada"
Inhumas,GO,Inhumas,GO,1996.0,20 A 29 ANOS,MASCULINO,Y349,XX,2,Fatos ou eventos não especificados e intenção não determinada
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,FEMININO,C539,II,1,Neoplasia maligna do colo do útero
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,FEMININO,I10,IX,1,Hipertensão essencial (primária)
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,J984,X,1,Outros transtornos respiratórios
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,R98,XVIII,2,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,Inhumas,GO,1996.0,30 A 39 ANOS,MASCULINO,X959,XX,1,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,B572,I,1,Doença de Chagas
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,C349,II,1,Neoplasia maligna dos brônquios e dos pulmões
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,C509,II,1,Neoplasia maligna da mama
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,E149,IV,1,Diabetes mellitus não especificado
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,I219,IX,1,Infarto agudo do miocárdio
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,J449,X,1,Outras doenças pulmonares obstrutivas crônicas
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,FEMININO,R98,XVIII,2,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,I219,IX,2,Infarto agudo do miocárdio
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,R98,XVIII,2,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,Inhumas,GO,1996.0,40 A 49 ANOS,MASCULINO,X959,XX,1,Agressão por meio de disparo de outra arma de fogo ou de arma não especificada
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,B572,I,1,Doença de Chagas
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,C80,II,1,"Neoplasia maligna, sem especificação de localização"
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,I219,IX,1,Infarto agudo do miocárdio
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,FEMININO,W879,XX,1,Exposição a corrente elétrica não especificada
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,A162,I,1,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,B572,I,1,Doença de Chagas
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,C349,II,1,Neoplasia maligna dos brônquios e dos pulmões
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,E149,IV,1,Diabetes mellitus não especificado
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,I219,IX,1,Infarto agudo do miocárdio
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,I500,IX,1,Insuficiência cardíaca
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,G459,VI,1,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,R98,XVIII,5,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,50 A 59 ANOS,MASCULINO,V892,XX,1,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,A09,I,1,Diarréia e gastroenterite de origem infecciosa presumível
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,I10,IX,1,Hipertensão essencial (primária)
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,I219,IX,1,Infarto agudo do miocárdio
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,J189,X,1,Pneumonia por microorganismo não especificada
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,FEMININO,R98,XVIII,4,Morte sem assistência
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,A419,I,1,Outras septicemias
Inhumas,GO,Inhumas,GO,1996.0,60 A 69 ANOS,MASCULINO,C786,II,1,Neoplasia maligna secundária dos órgãos respiratórios e digestivos
